#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-11T18:58:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9803da1060
#INFO	-out.max=unlimited
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/cb&tab:{B/cb/cbdata}&key:source=B/cb/cbdata&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/cb/cbdata
#-order=I
#-out=Name
#-out=AltName
#-out=RAJ2000
#-out=DEJ2000
#-out=Type1
#-out=Type2
#-out=mag1
#-out=Orb.Per
#-out=SpType2
#-out=SpType1
#-out=Refs
#Refs=Refs
#Simbad=Simbad
#

#RESOURCE=yCat_102018
#Name: B/cb
#Title: Cataclysmic Binaries, LMXBs, and related objects (Ritter+, 2004)
#Table	B_cb_cbdata:
#Name: B/cb/cbdata
#Title: Catalogue of Cataclysmic Binaries
#Column	Name	(a12)	Object name (G1)	[ucd=meta.id,meta.main]
#Column	AltName	(a12)	A frequently used alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec,meta.main]
#Column	Type1	(A2)	Object type (3)	[ucd=src.class]
#Column	Type2	(A2)	Object type (3)	[ucd=src.class]
#Column	mag1	(F4.1)	? Apparent V (or B, b, F, g, I, J, j, K, p, R, r, v, w = "white light") magnitude at maximum brightness (4)	[ucd=phot.mag,em.opt.V]
#Column	Orb.Per	(F9.6)	? Orbital period (in days)	[ucd=time.period]
#Column	SpType2	(A7)	Spectral type of the secondary (G6)	[ucd=src.spType]
#Column	SpType1	(a7)	Spectral type of the primary (G6)	[ucd=src.spType]
#Column	Refs	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
# , ,"h:m:s","d:m:s", , ,mag,d, , ,
Name,AltName,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb_Per,SpType2,SpType1,Refs
J2313+2337  ,            ,23 13 08.1,+23 37 02,DN,SU,20.2, 0.069000,       ,       ,Refs
J1132+6249  ,            ,11 32 15.5,+62 49 01,DN,  ,18.4, 0.068900,       ,       ,Refs
V1208 Tau   ,J0459+1926  ,04 59 44.0,+19 26 23,DN,SU,18.4, 0.068700,       ,       ,Refs
V393 Pav    ,J1957-5738  ,19 57 11.5,-57 38 22,NL,AM,18.0, 0.068625,       ,       ,Refs
V368 Peg    ,            ,22 58 43.5,+11 09 12,DN,SU,17.7, 0.068600,       ,       ,Refs
J1216+0520  ,            ,12 16 07.0,+05 20 14,DN,  ,20.1, 0.068600,       ,       ,Refs
V337 Cyg    ,            ,19 59 52.9,+39 14 00,DN,SU,20.0, 0.068500,       ,       ,Refs
V699 Oph    ,            ,16 25 14.8,-04 40 26,DN,SU,16.5, 0.068500,       ,       ,Refs
J1429+4145  ,            ,14 29 55.9,+41 45 17,NL,  ,17.7, 0.068500,       ,       ,Refs
J1509+4650  ,            ,15 09 03.7,+46 50 57,DN,SU,21.0, 0.068440,       ,       ,Refs
IR Gem      ,            ,06 47 34.6,+28 06 23,DN,SU,16.3, 0.068400,       ,       ,Refs
TY Psc      ,            ,01 25 39.4,+32 23 10,DN,SU,16.0, 0.068330,       ,       ,Refs
J1715+6856  ,            ,17 15 41.8,+68 56 43,DN,SU,18.3, 0.068300,       ,       ,Refs
RZ Sge      ,            ,20 03 18.5,+17 02 53,DN,SU,16.9, 0.068280,       ,       ,Refs
EX Hya      ,            ,12 52 24.4,-29 14 57,NL,IP,12.0, 0.068234,M5-6/5 ,       ,Refs
HS Cam      ,J0719+6557  ,07 19 14.5,+65 57 45,NL,AM,17.0, 0.068207,M4-6/5 ,       ,Refs
V1212 Tau   ,            ,03 51 57.0,+25 25 28,DN,SU,20.5, 0.068200,       ,       ,Refs
J1823-3021#2,            ,18 23 40.8,-30 21 35,CV,GC,22.0, 0.068170,       ,       ,Refs
V458 Vul    ,N Vul 2007#1,19 54 24.6,+20 52 52,Na,  ,14.6, 0.068126,       ,       ,Refs
J0446-7122  ,            ,04 46 50.0,-71 22 56,DN,SU,17.7, 0.068106,       ,       ,Refs
V650 Peg    ,            ,22 43 48.5,+08 09 27,DN,SU,19.0, 0.068100,       ,       ,Refs
J0558+0006  ,            ,05 58 42.8,+00 06 26,DN,  ,20.5, 0.068080,       ,       ,Refs
J1658+1847  ,            ,16 58 37.7,+18 47 27,DN,  ,17.5, 0.068064,       ,       ,Refs
KS UMa      ,1017+5319   ,10 20 26.5,+53 04 33,DN,SU,17.0, 0.068000,       ,       ,Refs
J0529+1848  ,            ,05 29 58.8,+18 48 10,DN,SU,18.2, 0.068000,       ,       ,Refs
J1117+7651  ,            ,11 17 59.7,+76 51 31,DN,SU,21.2, 0.068000,       ,       ,Refs
J1612-1509  ,            ,16 12 21.3,-15 09 39,DN,SU,21.5, 0.068000,       ,       ,Refs
J1810-5349  ,            ,18 10 33.8,-53 49 46,DN,SU,20.7, 0.068000,       ,       ,Refs
J2218+3445  ,            ,22 18 22.9,+34 45 09,DN,SU,18.9, 0.068000,       ,       ,Refs
J2318-3537  ,            ,23 18 33.3,-35 37 22,DN,SU,19.0, 0.068000,       ,       ,Refs
J2353+2742  ,            ,23 53 13.2,+27 42 02,DN,SU,20.2, 0.068000,       ,       ,Refs
BZ UMa      ,PG 0849+580 ,08 53 44.1,+57 48 41,DN,SU,16.0, 0.067990,M5-6/5 ,       ,Refs
NSV 4838    ,UMa 8       ,10 23 20.2,+44 05 09,DN,SU,18.8, 0.067900,       ,       ,Refs
SS UMi      ,PG 1551+719 ,15 51 22.2,+71 45 12,DN,SU,16.7, 0.067800,       ,       ,Refs
NGC 104-W34 ,            ,00 24 05.1,-72 04 47,CV,  ,22.8, 0.067670,       ,       ,Refs
J1653-4144  ,            ,16 53 34.4,-41 44 23,NL,AM,    , 0.067650,       ,       ,Refs
J1152+4049  ,            ,11 52 07.0,+40 49 48,DN,SU,19.3, 0.067600,       ,       ,Refs
LW Cam      ,J0704+6203  ,07 04 09.9,+62 03 28,NL,AM,17.2, 0.067547,       ,       ,Refs
V550 Cyg    ,            ,20 05 05.2,+32 21 21,DN,SU,19.5, 0.067500,       ,       ,Refs
J0506+3547  ,            ,05 06 17.4,+35 47 39,DN,SU,20.5, 0.067500,       ,       ,Refs
V2690 Oph   ,            ,16 37 22.2,-00 19 57,DN,SU,21.4, 0.067390,       ,       ,Refs
V1229 Her   ,            ,16 56 58.1,+21 21 39,CV,DN,18.5, 0.067300,       ,       ,Refs
V701 Tau    ,            ,03 44 01.9,+21 57 08,DN,SU,19.5, 0.067300,       ,       ,Refs
J2154+1557  ,            ,21 54 27.2,+15 57 13,CV,DN,20.9, 0.067294,       ,       ,Refs
SX LMi      ,CBS 31      ,10 54 30.4,+30 06 10,DN,SU,17.4, 0.067200,       ,       ,Refs
V1240 Her   ,            ,17 02 44.1,+22 35 48,  ,  ,17.3, 0.067000,       ,       ,Refs
PU Per      ,            ,02 42 16.1,+35 40 46,DN,SU,20.0, 0.067000,       ,       ,Refs
V1324 Sco   ,N Sco 2012  ,17 50 53.9,-32 37 20,Nb,  ,19.0, 0.067000,       ,       ,Refs
J0632-5638  ,            ,06 32 27.7,-56 38 53,DN,SU,19.6, 0.067000,       ,       ,Refs
V375 UMa    ,            ,10 26 37.0,+47 54 27,DN,SU,20.1, 0.067000,       ,       ,Refs
J1146+6759  ,            ,11 46 28.8,+67 59 10,DN,SU,18.8, 0.067000,       ,       ,Refs
J1409-2917  ,            ,14 09 32.1,-26 17 04,DN,SU,20.9, 0.067000,       ,       ,Refs
J1628+0653  ,            ,16 28 06.2,+06 53 15,DN,SU,20.6, 0.067000,       ,       ,Refs
J1925+6851  ,            ,19 25 14.5,+68 51 22,DN,SU,17.9, 0.067000,       ,       ,Refs
J2035+0920  ,            ,20 35 09.8,+09 20 47,DN,SU,20.7, 0.067000,       ,       ,Refs
J2253+3330  ,            ,22 53 50.5,+33 30 33,DN,SU,20.5, 0.067000,       ,       ,Refs
J2349-6054  ,            ,23 49 55.1,-60 54 17,DN,SU,19.9, 0.067000,       ,       ,Refs
BS Tri      ,            ,02 09 29.8,+28 32 29,NL,AM,17.0, 0.066881,       ,       ,Refs
J0950-0639  ,            ,09 50 18.1,-06 39 22,DN,SU,20.9, 0.066818,       ,       ,Refs
BC Dor      ,CAL 86      ,05 46 15.0,-68 35 24,DN,NS,18.4, 0.066800,       ,       ,Refs
J0333+3320  ,            ,03 33 52.8,+33 20 45,DN,SU,18.0, 0.066600,       ,       ,Refs
IX Dra      ,            ,18 12 31.4,+67 04 46,DN,SU,17.5, 0.066460,M2     ,       ,Refs
J0932+4725  ,            ,09 32 49.6,+47 25 23,DN,SU,18.5, 0.066303,       ,       ,Refs
KY Eri      ,            ,03 10 51.7,-07 55 00,DN,SU,20.7, 0.066300,       ,       ,Refs
HP Cet      ,            ,02 33 22.6,+00 51 00,NL,LI,18.7, 0.066280,       ,       ,Refs
J2158+2419  ,            ,21 58 18.5,+24 19 24,DN,SU,18.9, 0.066070,       ,       ,Refs
J0431-0314  ,            ,04 31 12.4,-03 14 52,DN,SU,18.9, 0.066050,       ,       ,Refs
V551 Sgr    ,            ,18 00 56.5,-34 35 45,DN,SU,19.5, 0.066000,       ,       ,Refs
FL Lyn      ,            ,08 24 09.7,+49 31 24,DN,SU,19.3, 0.066000,       ,       ,Refs
J0416+2928  ,            ,04 16 36.9,+29 28 06,DN,SU,20.0, 0.066000,       ,       ,Refs
J0443-2108  ,            ,04 43 45.4,-21 08 34,DN,SU,20.6, 0.066000,       ,       ,Refs
J0553-4806  ,            ,05 53 30.4,-48 06 23,DN,SU,22.1, 0.066000,       ,       ,Refs
J0640+4421  ,            ,06 40 21.1,+44 21 28,DN,SU,21.4, 0.066000,       ,       ,Refs
J0647+4915  ,            ,06 47 25.7,+49 15 43,DN,SU,19.0, 0.066000,       ,       ,Refs
J0746-0746  ,            ,07 46 35.1,-07 46 33,DN,SU,18.5, 0.066000,       ,       ,Refs
J1015+8124  ,            ,10 15 10.8,+81 24 19,DN,SU,21.5, 0.066000,       ,       ,Refs
J1100+1315  ,            ,11 00 14.7,+13 15 52,DN,SU,18.7, 0.066000,       ,       ,Refs
J1436-3604  ,            ,14 36 15.5,-36 04 17,DN,SU,22.2, 0.066000,       ,       ,Refs
J1642-2313  ,            ,16 42 13.2,-23 13 13,DN,SU,18.3, 0.066000,       ,       ,Refs
J2218+6542  ,            ,22 18 11.0,+65 42 20,DN,SU,20.5, 0.066000,       ,       ,Refs
KX Psc      ,            ,23 04 25.9,+06 25 46,DN,SU,21.1, 0.066000,       ,       ,Refs
J0116+0922  ,            ,01 16 13.8,+09 22 16,DN,  ,18.9, 0.065820,       ,       ,Refs
GO Com      ,            ,12 56 37.1,+26 36 44,DN,SU,20.0, 0.065800,       ,       ,Refs
V2362 Cyg   ,N Cyg 2006  ,21 11 32.3,+44 48 04,Na,  ,21.0, 0.065770,       ,       ,Refs
J0945-1944  ,            ,09 45 51.0,-19 44 01,DN,SU,16.5, 0.065769,       ,       ,Refs
J1725-6438  ,            ,17 25 54.8,-64 38 39,NL,AM,18.0, 0.065734,       ,       ,Refs
J0922+3307  ,            ,09 22 29.3,+33 07 44,DN,SU,18.4, 0.065700,       ,       ,Refs
YY Sex      ,J1039-0506  ,10 39 47.0,-05 06 58,NL,IP,17.4, 0.065597,       ,       ,Refs
J1811+2242  ,            ,18 11 22.9,+22 42 07,DN,SU,22.0, 0.065570,       ,       ,Refs
DI Phe      ,            ,23 54 20.4,-47 00 20,DN,  ,18.9, 0.065550,       ,       ,Refs
J0426+3541  ,            ,04 26 09.3,+35 41 45,DN,SU,16.7, 0.065502,       ,       ,Refs
J0438+0040  ,            ,04 38 29.1,+00 40 17,DN,  ,19.0, 0.065500,       ,       ,Refs
PW Aqr      ,            ,20 50 17.8,-05 36 27,NL,AM,    , 0.065425,       ,       ,Refs
DM Lyr      ,            ,18 58 44.4,+30 15 33,DN,SU,18.4, 0.065409,       ,       ,Refs
AO Oct      ,            ,21 05 08.2,-75 21 02,DN,SU,19.8, 0.065350,       ,       ,Refs
J1524+2209  ,            ,15 24 19.3,+22 09 20,DN,SU,18.6, 0.065319,       ,       ,Refs
J0746+1734  ,            ,07 46 40.6,+17 34 13,DN,SU,20.0, 0.065300,       ,       ,Refs
J0912-0349  ,            ,09 12 46.0,-03 49 16,DN,  ,17.9, 0.065300,       ,       ,Refs
AK Cnc      ,            ,08 55 21.2,+11 18 15,DN,SU,18.9, 0.065100,       ,       ,Refs
V1195 Oph   ,            ,17 00 21.7,-20 53 34,DN,SU,20.5, 0.065000,       ,       ,Refs
J0232-3717  ,            ,02 32 38.0,-37 17 55,DN,SU,18.8, 0.065000,       ,       ,Refs
J0411-0907  ,            ,04 11 33.6,-09 07 29,DN,SU,19.6, 0.065000,       ,       ,Refs
J0505+2225  ,            ,05 05 03.1,+22 25 30,DN,SU,19.9, 0.065000,       ,       ,Refs
J0648+4147  ,            ,06 48 04.5,+41 47 02,DN,SU,20.1, 0.065000,       ,       ,Refs
J1055+5731  ,            ,10 55 45.2,+57 31 10,DN,SU,22.2, 0.065000,       ,       ,Refs
J1259+2426  ,            ,12 59 05.8,+24 26 33,DN,SU,21.1, 0.065000,       ,       ,Refs
J1743+2311  ,            ,17 43 05.7,+23 11 08,DN,SU,20.2, 0.065000,       ,       ,Refs
J1752+5001  ,            ,17 52 19.1,+50 01 16,DN,SU,22.2, 0.065000,       ,       ,Refs
V776 And    ,            ,23 19 36.1,+36 47 00,DN,SU,19.0, 0.065000,       ,       ,Refs
AQ CMi      ,            ,07 14 34.8,+08 48 06,DN,SU,18.8, 0.064900,       ,       ,Refs
CT Hya      ,            ,08 51 07.4,+03 08 34,DN,SU,19.9, 0.064900,       ,       ,Refs
UV Per      ,            ,02 10 08.3,+57 11 21,DN,SU,17.9, 0.064900,       ,       ,Refs
J1538+5123  ,            ,15 38 17.4,+51 23 38,DN,  ,18.6, 0.064660,       ,       ,Refs
EQ Cet      ,J0128-2339  ,01 28 52.5,-23 39 43,NL,AM,17.5, 0.064455,M6/5   ,       ,Refs
HW Boo      ,            ,13 43 23.2,+15 09 17,DN,  ,17.5, 0.064350,       ,       ,Refs
J0935+1619  ,            ,09 35 37.5,+16 19 51,CV,NL,18.5, 0.064059,       ,       ,Refs
J0127-5817  ,            ,01 27 54.5,-58 17 17,DN,SU,19.9, 0.064000,       ,       ,Refs
J0252-3959  ,            ,02 52 48.2,-39 59 11,DN,SU,19.7, 0.064000,       ,       ,Refs
J0507+1253  ,            ,05 07 16.2,+12 53 15,DN,SU,20.5, 0.064000,       ,       ,Refs
J1442-2250  ,            ,14 42 52.0,-22 50 39,DN,SU,21.5, 0.064000,       ,       ,Refs
J1604+1456  ,            ,16 04 10.6,+14 56 19,DN,SU,21.7, 0.064000,       ,       ,Refs
J1703+6607  ,            ,17 03 43.0,+66 07 45,DN,SU,21.0, 0.064000,       ,       ,Refs
J2144+2220  ,            ,21 44 26.4,+22 20 25,DN,SU,17.1, 0.064000,       ,       ,Refs
J0945+2922  ,            ,09 45 58.2,+29 22 53,NL,  ,19.1, 0.063900,       ,       ,Refs
J1944-4202  ,            ,19 44 27.8,-42 02 09,NL,AM,16.3, 0.063850,       ,       ,Refs
J1817-2508  ,            ,18 17 22.2,-25 08 43,NL,IP,16.9, 0.063800,       ,       ,Refs
J1312+1736  ,            ,13 12 23.5,+17 37 00,NL,AM,19.1, 0.063785,       ,       ,Refs
V632 Cyg    ,            ,21 36 04.2,+40 26 19,DN,SU,18.0, 0.063770,       ,       ,Refs
V476 Peg    ,Var 79 Peg  ,21 54 33.7,+35 50 17,DN,SU,18.1, 0.063700,       ,       ,Refs
ER UMa      ,PG 0943+521 ,09 47 11.8,+51 54 09,DN,SU,15.8, 0.063660,       ,       ,Refs
J0039+0054  ,            ,00 39 41.1,+00 54 28,DN,  ,20.6, 0.063469,       ,       ,Refs
V453 Nor    ,            ,16 00 47.5,-48 46 05,DN,SU,17.9, 0.063380,       ,       ,Refs
QZ Lib      ,            ,15 36 16.0,-08 39 07,DN,SU,17.5, 0.063300,       ,       ,Refs
QZ Aqr      ,            ,21 31 22.4,-00 39 37,DN,SU,21.4, 0.063300,       ,       ,Refs
MR UMa      ,J1131+4322  ,11 31 22.4,+43 22 38,DN,SU,16.7, 0.063300,       ,       ,Refs
J1321+5609  ,            ,13 21 04.0,+56 09 58,NL,AM,16.3, 0.063235,       ,       ,Refs
J1440+4947  ,            ,14 40 11.0,+49 47 34,DN,SU,21.2, 0.063200,       ,       ,Refs
OY Car      ,            ,10 06 22.4,-70 14 05,DN,SU,16.7, 0.063121,M8-9/5 ,       ,Refs
J1125-0016  ,            ,11 25 55.7,-00 16 38,DN,  ,19.7, 0.063100,       ,       ,Refs
V1227 Her   ,            ,16 53 59.1,+20 10 10,DN,SU,17.5, 0.063100,       ,       ,Refs
VY Aqr      ,            ,21 12 09.2,-08 49 37,DN,SU,17.1, 0.063090,M0-6  :,       ,Refs
J0248+5012  ,            ,02 48 48.1,+50 12 39,DN,SU,22.1, 0.063000,       ,       ,Refs
J0729+5938  ,            ,07 29 48.6,+59 38 25,DN,SU,19.8, 0.063000,       ,       ,Refs
J0734+2713  ,            ,07 34 18.7,+27 13 09,DN,SU,20.3, 0.063000,       ,       ,Refs
J1400+5723  ,            ,14 00 38.0,+57 23 41,DN,SU,19.3, 0.063000,       ,       ,Refs
J1411+2620  ,            ,14 11 43.5,+26 20 52,DN,SU,21.7, 0.063000,       ,       ,Refs
J1519-2440  ,            ,15 19 29.6,-24 40 01,DN,SU,22.4, 0.063000,       ,       ,Refs
J2004+4420  ,            ,20 04 23.1,+44 20 30,DN,SU,20.2, 0.063000,       ,       ,Refs
J2142+1536  ,            ,21 42 54.3,+15 36 42,DN,SU,22.6, 0.063000,       ,       ,Refs
J1919-4945  ,            ,19 19 08.8,-49 45 41,DN,SU,21.5, 0.062980,       ,       ,Refs
GP CVn      ,            ,12 27 40.8,+51 39 25,DN,SU,19.1, 0.062950,       ,       ,Refs
TV Crv      ,N Crv 1931  ,12 20 24.2,-18 27 02,DN,SU,18.7, 0.062900,       ,       ,Refs
V5662 Sgr   ,            ,20 05 51.2,-29 34 58,DN,  ,15.9, 0.062890,       ,       ,Refs
EK TrA      ,            ,15 14 01.0,-65 05 35,DN,SU,16.7, 0.062880,       ,       ,Refs
J0333-4451  ,            ,03 33 20.6,-44 51 42,DN,  ,17.3, 0.062860,       ,       ,Refs
J1057+2759  ,            ,10 57 54.2,+27 59 48,DN,  ,19.0, 0.062810,       ,       ,Refs
HO Del      ,            ,20 36 55.5,+14 03 09,DN,SU,17.8, 0.062700,       ,       ,Refs
J1631+1031  ,            ,16 31 20.9,+10 31 34,DN,SU,18.0, 0.062700,       ,       ,Refs
J1300+1151  ,            ,13 00 30.3,+11 51 01,DN,SU,19.5, 0.062670,       ,       ,Refs
J1745-2905  ,            ,17 45 32.7,-29 05 52,NL,AM,    , 0.062611,       ,       ,Refs
BC UMa      ,            ,11 52 15.9,+49 14 42,DN,SU,18.6, 0.062610,M6-7/5 ,       ,Refs
EU UMa      ,RE J1149+28 ,11 49 55.7,+28 45 08,NL,AM,16.6, 0.062600,       ,       ,Refs
V347 Pav    ,J1844-7418  ,18 44 48.3,-74 18 34,NL,AM,15.2, 0.062557,       ,       ,Refs
J0257+3337  ,            ,02 57 37.7,+33 37 51,NL,AM,18.3, 0.062508,       ,       ,Refs
V436 Cen    ,            ,11 14 00.1,-37 40 49,DN,SU,15.3, 0.062501,M7-9/5 ,       ,Refs
SY Cap      ,            ,20 29 47.5,-15 54 38,DN,SU,18.8, 0.062500,       ,       ,Refs
J0502+1624  ,Tau 4       ,05 02 50.9,+16 24 22,NL,AM,13.9, 0.062500,       ,       ,Refs
V2051 Oph   ,            ,17 08 19.1,-25 48 31,DN,SU,15.0, 0.062428,M6-8/5 ,       ,Refs
DP Leo      ,1E 1114+182 ,11 17 16.0,+17 57 41,NL,AM,17.5, 0.062363,       ,       ,Refs
J1325+2100  ,            ,13 25 36.1,+21 00 37,DN,  ,19.5, 0.062238,       ,       ,Refs
V1159 Ori   ,            ,05 28 59.5,-03 33 53,DN,SU,13.6, 0.062178,       ,       ,Refs
V402 And    ,            ,00 11 07.3,+30 32 36,DN,SU,20.3, 0.062100,       ,       ,Refs
V1141 Aql   ,            ,19 37 09.8,+02 36 01,DN,SU,19.5, 0.062020,       ,       ,Refs
CG CMa      ,            ,07 04 05.2,-23 45 34,DN,SU,22.0, 0.062000,       ,       ,Refs
V611 Her    ,            ,16 44 49.4,+19 59 40,DN,SU,20.7, 0.062000,       ,       ,Refs
J0301+4011  ,            ,03 01 28.8,+40 11 05,DN,SU,19.2, 0.062000,       ,       ,Refs
J0600+1426  ,            ,06 00 10.0,+14 26 13,DN,SU,20.4, 0.062000,       ,       ,Refs
J0754+3132  ,            ,07 54 14.5,+31 32 16,DN,SU,19.6, 0.062000,       ,       ,Refs
J1107-6108  ,            ,11 07 20.6,-61 08 33,DN,SU,20.3, 0.062000,       ,       ,Refs
J1127-2822  ,            ,11 27 26.0,-28 22 12,DN,SU,21.3, 0.062000,       ,       ,Refs
J1202-4541  ,            ,12 02 51.6,-45 41 16,DN,SU,19.6, 0.062000,       ,       ,Refs
J1239-4716  ,            ,12 39 56.2,-47 16 24,DN,SU,18.3, 0.062000,       ,       ,Refs
J1917-5657  ,            ,19 17 56.8,-56 57 58,DN,SU,21.3, 0.062000,       ,       ,Refs
J2032+0305  ,            ,20 32 37.5,+03 05 25,DN,SU,21.1, 0.062000,       ,       ,Refs
J2120+1941  ,            ,21 20 25.2,+19 41 57,DN,SU,21.9, 0.062000,       ,       ,Refs
CP Tuc      ,J2315-5910  ,23 15 19.1,-59 10 28,NL,AM,16.4, 0.061832,       ,       ,Refs
J1832-1001  ,            ,18 32 51.6,-10 01 05,NL,AM,21.6, 0.061800,       ,       ,Refs
DT Pyx      ,            ,09 18 58.5,-29 42 37,DN,SU,17.5, 0.061650,       ,       ,Refs
J1514+0744  ,            ,15 14 15.7,+07 44 47,NL,AM,18.6, 0.061610,       ,       ,Refs
J1050-1404  ,            ,10 50 11.0,-14 04 37,DN,WZ,17.5, 0.061500,       ,       ,Refs
V4140 Sgr   ,NSV 12615   ,19 58 49.7,-38 56 12,DN,SU,17.5, 0.061430,       ,       ,Refs
V379 Vir    ,            ,12 12 09.3,+01 36 28,NL,AM,18.0, 0.061412,L7-8   ,       ,Refs
J1025-1542  ,            ,10 25 22.0,-15 42 24,DN,SU,19.3, 0.061360,       ,       ,Refs
CP Pup      ,N Pup 1942  ,08 11 46.0,-35 21 06,Na,SH,19.5, 0.061264,       ,       ,Refs
J0332+0204  ,            ,03 32 31.9,+02 04 39,DN,SU,19.8, 0.061210,       ,       ,Refs
XZ Eri      ,            ,04 11 25.8,-15 23 24,DN,SU,18.8, 0.061159,       ,       ,Refs
J1537-2440  ,            ,15 37 56.9,-24 40 14,DN,SU,21.5, 0.061010,       ,       ,Refs
J0141+0908  ,            ,01 41 50.4,+09 08 22,DN,SU,20.4, 0.061000,       ,       ,Refs
J0243-1603  ,            ,02 43 54.1,-16 03 14,DN,SU,20.1, 0.061000,       ,       ,Refs
J0439+4242  ,            ,04 39 15.5,+42 42 33,DN,SU,21.1, 0.061000,       ,       ,Refs
J0449+3605  ,            ,04 49 32.3,+36 05 14,DN,SU,17.1, 0.061000,       ,       ,Refs
J0506-1659  ,            ,05 06 59.2,-16 59 32,DN,SU,19.3, 0.061000,       ,       ,Refs
J0528+3618  ,            ,05 28 55.7,+36 18 39,DN,SU,20.3, 0.061000,       ,       ,Refs
J0559-5125  ,            ,05 59 24.1,-51 25 22,DN,SU,21.1, 0.061000,       ,       ,Refs
J0907-1042  ,            ,09 07 05.4,-10 42 45,DN,SU,21.9, 0.061000,       ,       ,Refs
J1015+0333  ,            ,10 15 45.5,+03 33 13,DN,SU,19.0, 0.061000,       ,       ,Refs
J1038-3654  ,            ,10 38 59.9,-36 54 42,DN,SU,21.0, 0.061000,       ,       ,Refs
J1623+6500  ,            ,16 23 14.4,+65 00 38,DN,SU,21.0, 0.061000,       ,       ,Refs
J1822+3249  ,            ,18 22 01.9,+32 49 08,DN,SU,21.0, 0.061000,       ,       ,Refs
J2031+5119  ,            ,20 31 55.1,+51 19 39,DN,SU,20.2, 0.061000,       ,       ,Refs
AQ Eri      ,            ,05 06 13.0,-04 08 07,DN,SU,17.5, 0.060940,       ,       ,Refs
UZ Boo      ,            ,14 44 01.3,+22 00 56,DN,SU,19.8, 0.060900,       ,       ,Refs
J1751-2936  ,            ,17 51 19.4,-29 36 59,NL,AM,22.6, 0.060900,       ,       ,Refs
J2037+5522  ,            ,20 37 49.3,+55 22 10,DN,SU,20.4, 0.060620,       ,       ,Refs
V1028 Cyg   ,            ,20 00 56.6,+56 56 37,DN,SU,19.0, 0.060600,       ,       ,Refs
J1853-0128  ,            ,18 53 30.7,-01 28 16,NL,IP,17.1, 0.060600,       ,       ,Refs
J2048-0610  ,            ,20 48 17.9,-06 10 45,DN,SU,19.5, 0.060597,       ,       ,Refs
FL Cet      ,J0155+0028  ,01 55 43.4,+00 28 07,NL,AM,15.0, 0.060516,       ,       ,Refs
IW Eri      ,J0425-1945  ,04 25 55.2,-19 45 30,NL,AM,16.6, 0.060500,       ,       ,Refs
Lanning 420 ,            ,22 02 43.1,+59 03 21,DN,SU,20.6, 0.060500,       ,       ,Refs
KX Aql      ,            ,19 33 53.7,+14 17 47,DN,SU,18.4, 0.060350,       ,       ,Refs
J0813-0103  ,            ,08 13 18.5,-01 03 28,DN,SU,15.6, 0.060311,       ,       ,Refs
RX Vol      ,            ,08 39 32.3,-66 17 39,DN,SU,22.0, 0.060300,       ,       ,Refs
V1040 Cen   ,J1155-5641  ,11 55 27.1,-56 41 53,DN,SU,14.6, 0.060296,       ,       ,Refs
MM Sco      ,            ,17 30 45.3,-42 11 41,DN,SU,18.5, 0.060200,       ,       ,Refs
V496 Aur    ,            ,07 27 52.3,+40 46 54,DN,SU,21.7, 0.060000,       ,       ,Refs
KK Cnc      ,            ,08 07 14.3,+11 38 13,DN,SU,20.9, 0.060000,       ,       ,Refs
DY CMi      ,            ,07 47 27.6,+06 50 50,DN,SU,19.5, 0.060000,       ,       ,Refs
VX For      ,For 3       ,03 26 45.7,-34 26 25,DN,SU,19.0, 0.060000,       ,       ,Refs
CI UMa      ,            ,10 18 13.0,+71 55 43,DN,SU,19.1, 0.060000,       ,       ,Refs
J0019+4649  ,            ,00 19 52.3,+46 49 33,DN,SU,21.3, 0.060000,       ,       ,Refs
J0157+5110  ,            ,01 57 46.1,+51 10 24,DN,SU,20.4, 0.060000,       ,       ,Refs
J0646+4033  ,            ,06 46 08.2,+40 33 05,DN,SU,17.5, 0.060000,       ,       ,Refs
J0911-7756  ,            ,09 11 51.8,-77 56 34,DN,SU,21.3, 0.060000,       ,       ,Refs
J1036-6337  ,            ,10 36 19.8,-63 37 33,DN,SU,21.6, 0.060000,       ,       ,Refs
J1051+6725  ,            ,10 51 22.9,+67 25 29,DN,SU,19.0, 0.060000,       ,       ,Refs
J1324-1951  ,            ,13 24 39.9,-19 51 29,DN,SU,20.5, 0.060000,       ,       ,Refs
J1405-1902  ,            ,14 05 22.9,-19 02 09,DN,SU,21.0, 0.060000,       ,       ,Refs
J1649+1402  ,            ,16 49 25.4,+14 02 44,DN,SU,21.2, 0.060000,       ,       ,Refs
